,ID_NUMBER,Probability,ToInspect
0,LAR000003285,0.9921557413,1
11,NYD986954444,0.9894742456,1
13,DCD981042179,0.9966088282,1
17,LAD985215227,0.9835716764,1
19,DCD983968504,0.991256025,1
30,RI5000010512,0.9866123016,1
43,WYR000203034,0.9921863732,1
56,NJR000077438,0.9947797619,1
58,NY1211836357,0.9884307018,1
62,NY7170023900,0.9890238095,1
65,NYD987038288,0.9874199899,1
67,NYD002206480,0.9939740695,1
69,NY3570025475,0.9841935766,1
72,NCS000001056,0.9856184718,1
74,NYD002233054,0.9973428119,1
77,NYD002034767,0.9836660739,1
83,IL0000124867,0.9874882551,1
87,VTR000510933,0.9913552916,1
88,COD007069446,0.9829527778,1
89,ILD982208456,0.9938725379,1
98,NMR000009555,0.9824662698,1
99,KSD984991083,0.9917008454,1
103,LAR000051391,0.9869303123,1
112,PAR000518217,0.9872856946,1
114,NED035156199,0.985602381,1
120,MOR000020321,0.9877094077,1
123,MIK146646391,0.9865232321,1
140,MID021029871,0.9939892668,1
141,PAD014833479,0.9828796749,1
153,NYR000006213,0.9936242656,1
156,RID980522106,0.9924571429,1
162,WVR000538389,0.9831032926,1
165,MID017171745,0.988443347,1
168,NJD002342434,0.9900000219,1
174,NCS000001118,0.9932894,1
175,NYR000133561,0.9941249705,1
179,FLD094595022,0.9927126984,1
183,INR000119651,0.9869092293,1
192,NYD002103612,0.9856940476,1
193,NY7355825210,0.9937396825,1
209,MNS000178434,0.9960767179,1
220,NVD982013534,0.9842653439,1
222,IDR000002071,0.9887069492,1
223,NV0000202986,0.9948549344,1
224,NVD982444036,0.9850856698,1
225,MDR000507400,0.9835903842,1
226,NCS000000869,0.9839371012,1
241,MOD981710726,0.9935349206,1
242,VAD982677122,0.9921094367,1
245,VAD074736505,0.9873662698,1
249,KYR000006114,0.9850535539,1
255,KYD985115351,0.9902206421,1
258,DCR000000265,0.9832416667,1
262,VAD988204947,0.9926843448,1
266,DCR000501411,0.9892757937,1
267,KYD021735196,0.9852151705,1
268,NCD986188472,0.989706746,1
270,ALD114298888,0.9843699638,1
276,DCR000000299,0.9984345964,1
280,NYN008029175,0.9833861111,1
281,COR000244640,0.9859115079,1
285,VAD988174074,0.986640082,1
289,VAD988209250,0.9907998351,1
292,VAD988221396,0.9870142657,1
293,VAD988221446,0.9851117449,1
302,SDD987667680,0.9894449546,1
305,NED041244104,0.9896869048,1
307,KSD981706609,0.9897213704,1
308,UTD032820417,0.9844250411,1
309,MTR000005868,0.9845880873,1
310,VAD137398517,0.9887421197,1
313,WYR000001651,0.9912419288,1
314,WVD988794269,0.9853862762,1
315,NED986386860,0.9839649314,1
321,DCD983968371,0.9868384921,1
324,NCS000002495,0.9876439842,1
334,KSR000503144,0.9865530911,1
336,MOR000027888,0.9933488095,1
341,NJD000278499,0.9825335458,1
342,NJD062041579,0.985093254,1
343,NYD987017464,0.9873549081,1
344,NJR000038422,0.9904833333,1
351,NJD986572345,0.9852527243,1
352,VAR000509521,0.9908767899,1
355,NJD986571925,0.9870827673,1
359,MI0000261610,0.986515308,1
371,NJR000066266,0.986433434,1
372,WYR000202556,0.9901833333,1
379,IND074429895,0.9908373016,1
381,KSD984968214,0.9888667449,1
382,KSD093504678,0.9919655436,1
383,KS0000254292,0.9893184039,1
384,MOR000002725,0.9933956922,1
387,KSD007239593,0.9902226861,1
392,KSD984970830,0.9874459933,1
394,NJR000042366,0.9841051587,1
397,NJD986616456,0.9932419839,1
398,COR000239038,0.9852440476,1
401,NJD986582070,0.9834337302,1
402,IAD054235494,0.9885515873,1
403,NCS000001101,0.9938236077,1
405,NJD981872385,0.9899269841,1
408,NJR000009589,0.9897942127,1
409,NJD981561863,0.989079754,1
410,NJD980773105,0.98727102,1
411,NJR000001040,0.9827306233,1
414,NJD002501963,0.9935812966,1
416,NJD981484033,0.9899113248,1
418,NJD986653483,0.9849775956,1
423,NJD046298881,0.9876542859,1
425,NJD002502391,0.9959347619,1
426,NJD986582054,0.9834337302,1
428,MN6680090002,0.9839366021,1
429,NJR000004333,0.9845829365,1
435,NCS000001034,0.9833375109,1
437,KSD981727688,0.9895051587,1
438,NED986370302,0.9928770975,1
439,NJD981487259,0.9883622786,1
440,NJD089750749,0.9832862867,1
447,NCS000001031,0.9848108154,1
448,NJR000045104,0.9977166667,1
450,NJR000045971,0.9964970129,1
453,MIK939928313,0.9830357143,1
464,MIK312683899,0.9839905198,1
465,MIK134569722,0.9839905198,1
471,NJD002562080,0.9843370467,1
474,NJR000053942,0.9831388889,1
482,NCS000002414,0.9826867227,1
483,NJD065793267,0.992625,1
486,NJD980790950,0.988852381,1
487,NJR000066522,0.9863349796,1
489,NJD078595949,0.9969015873,1
