"ID_NUMBER","ACTIVITY_LOCATION","EVALUATION_IDENTIFIER","EVALUATION_TYPE","EVALUATION_DESC","EVALUATION_AGENCY","EVALUATION_START_DATE","FOUND_VIOLATION"
"MND006156590","MN","032","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","02/01/1990","N  "
"MND006156590","MN","033","FRR","FINANCIAL RECORD REVIEW","S  ","09/28/1990","N  "
"MND006156590","MN","034","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/06/1991","Y  "
"MND006156590","MN","035","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","03/06/1991","Y  "
"MND006156590","MN","036","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","09/30/1991","N  "
"MND006156590","MN","037","FRR","FINANCIAL RECORD REVIEW","S  ","04/25/1991","N  "
"MND006152334","MN","010","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/29/2000","Y  "
"MND006152334","MN","011","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/15/2001","Y  "
"MND006152334","MN","012","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/13/2004","Y  "
"MND006153357","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/23/1985","Y  "
"MND006153415","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","06/05/2003","N  "
"MND006153415","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","12/29/2004","Y  "
"MND006153514","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/14/2002","Y  "
"MND006153712","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/15/1985","Y  "
"MND006153712","MN","002","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","10/15/1985","Y  "
"MND006182067","MN","007","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/18/1989","N  "
"MND006154595","MN","002","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","08/27/1987","Y  "
