"ID_NUMBER","ACTIVITY_LOCATION","YRMONTH","VIO_FLAG","SNC_FLAG"
"AK0000094888","AK","201009","Y","N"
"AK0000098269","AK","199307","Y","N"
"AK0000098269","AK","199308","Y","N"
"AK0000374959","AK","199408","Y","N"
"AK0000374959","AK","199409","Y","N"
"AK0000374959","AK","199410","Y","N"
"AK0000374959","AK","199411","Y","N"
"AK0000374959","AK","199412","Y","N"
"AK0000374959","AK","199501","Y","N"
"AK0000374959","AK","199502","Y","N"
"AK0000374959","AK","199503","Y","N"
"AK0000378919","AK","199405","Y","N"
"AK0000378919","AK","199406","Y","N"
"AK0000384032","AK","199406","Y","N"
"AK0000384040","AK","200008","Y","N"
"AK0000384040","AK","200009","Y","N"
"AK0000384040","AK","200010","Y","N"
"AK0000384040","AK","200011","Y","N"
"AK0000384040","AK","201601","Y","N"
"AK0000384040","AK","201602","Y","N"
"AK0000385583","AK","199404","Y","N"
"AK0000385583","AK","199405","Y","N"
"AK0000385583","AK","199406","Y","N"
"AK0000385583","AK","199407","Y","N"
"AK0000385591","AK","199404","Y","N"
"AK0000385591","AK","199405","Y","N"
"AK0000385591","AK","199406","Y","N"
"AK0000385591","AK","199407","Y","N"
"AK0000385609","AK","199404","Y","N"
"AK0000385609","AK","199405","Y","N"
"AK0000385609","AK","199406","Y","N"
"AK0000385617","AK","199405","Y","N"
"AK0000385617","AK","199406","Y","N"
"AK0000385625","AK","199404","Y","N"
"AK0000385625","AK","199405","Y","N"
"AK0000385625","AK","199406","Y","N"
"AK0000385625","AK","199407","Y","N"
"AK0000385625","AK","200512","Y","N"
"AK0000385633","AK","199404","Y","N"
"AK0000385633","AK","199405","Y","N"
"AK0000385633","AK","199406","Y","N"
"AK0000385633","AK","199407","Y","N"
"AK0000444166","AK","199404","Y","N"
"AK0000444166","AK","199405","Y","N"
"AK0000444166","AK","199406","Y","N"
"AK0000444166","AK","199407","Y","N"
"AK0000444174","AK","199404","Y","N"
"AK0000444174","AK","199405","Y","N"
"AK0000444174","AK","199406","Y","N"
"AK0000444174","AK","199407","Y","N"
"AK0000556266","AK","199311","Y","N"
"AK0000556266","AK","199312","Y","N"
"AK0000556266","AK","199401","Y","N"
"AK0000556266","AK","199402","Y","N"
"AK0000556266","AK","199403","Y","N"
"AK0000556266","AK","199404","Y","N"
"AK0000556266","AK","199405","Y","N"
"AK0000556266","AK","199406","Y","N"
"AK0000556266","AK","199407","Y","N"
"AK0000637397","AK","199408","Y","N"
"AK0000637397","AK","199409","Y","N"
"AK0000637397","AK","199410","Y","N"
"AK0000637397","AK","199411","Y","N"
"AK0000637397","AK","199412","Y","N"
"AK0000637397","AK","199501","Y","N"
"AK0000637397","AK","199502","Y","N"
"AK0000637397","AK","199503","Y","N"
"AK0000637397","AK","199504","Y","N"
"AK0000637397","AK","199505","Y","N"
"AK0000882274","AK","201702","Y","N"
"AK0000882274","AK","201703","Y","N"
"AK0000962761","AK","199410","Y","N"
"AK0000962761","AK","199411","Y","N"
"AK0000962761","AK","199412","Y","N"
"AK0000962761","AK","199501","Y","N"
"AK0000962761","AK","199502","Y","N"
"AK0000962761","AK","199503","Y","N"
"AK0000962761","AK","199504","Y","N"
"AK0000962761","AK","199505","Y","N"
"AK0000962761","AK","199506","Y","N"
"AK0000962761","AK","199507","Y","N"
"AK0000962761","AK","199508","Y","N"
"AK0000962761","AK","199509","Y","N"
"AK0000992826","AK","199807","Y","N"
"AK0570000182","AK","199304","Y","N"
"AK0570000182","AK","199305","Y","N"
"AK0570000182","AK","199306","Y","N"
"AK0570000182","AK","199307","Y","N"
"AK0570000182","AK","199308","Y","N"
"AK0570000182","AK","199309","Y","N"
"AK0570000182","AK","199310","Y","N"
"AK0570000182","AK","199311","Y","N"
"AK0570000182","AK","199312","Y","N"
"AK0570000182","AK","199401","Y","N"
"AK0570000182","AK","199402","Y","N"
"AK0570000182","AK","199403","Y","N"
"AK0570000182","AK","199404","Y","N"
"AK1210022157","AK","198403","Y","N"
"AK1210022157","AK","198606","Y","N"
