"ID_NUMBER","ACTIVITY_LOCATION","VIOLATION_TYPE","VIOLATION_TYPE_DESC","VIOL_DETERMINED_BY_AGENCY","DATE_VIOLATION_DETERMINED","ACTUAL_RTC_DATE","SCHEDULED_COMPLIANCE_DATE"
"IAD041103193","IA","264.A","Standards for Owners and Operators of HW TSDs: General","S  ","09/10/1981","05/30/1989",
"IAD005275540","IA","264.G","Standards for Owners and Operators of HW TSDs: Closure and Post-Closure","S  ","03/28/1984","07/30/1987","04/08/1984"
"IAD005275763","IA","268.A","Land Disposal Restrictions: General","E  ","09/09/1987","05/15/1990",
"NVD986768570","NV","262.A","Standards Applicable to Generators of HW: General","S  ","04/22/1993","04/22/1998",
"KSD980632756","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","03/29/1994","06/29/1994","06/27/1994"
"KSD079878005","KS","262.A","Standards Applicable to Generators of HW: General","S  ","03/15/2000","03/24/2000","05/14/2000"
"MOD007123110","MO","262.A","Standards Applicable to Generators of HW: General","S  ","05/17/1991","08/21/1991","06/20/1991"
"MOD007118078","MO","262.A","Standards Applicable to Generators of HW: General","S  ","05/23/1984","08/02/1984","07/05/1984"
"MOD006288658","MO","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","04/16/1997","05/01/1997",
"MOD006265326","MO","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","08/24/1993","11/02/1993","11/03/1993"
"KSD031428774","KS","262.A","Standards Applicable to Generators of HW: General","S  ","06/08/1992","12/23/1992",
"KSD007233638","KS","262.A","Standards Applicable to Generators of HW: General","S  ","02/24/1984","05/03/1985","05/15/1984"
"KSD007233257","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","01/28/1994","06/24/1994",
"IAD005275540","IA","264.B","Standards for Owners and Operators of HW TSDs: General Facility Standards","E  ","03/13/1991","03/29/1991","03/23/1991"
"MOD985818111","MO","262.D","Standards Applicable to Generators of HW: Recordkeeping and Reporting","S  ","05/28/1997","01/23/1998","07/10/1997"
"MOR000006627","MO","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","09/17/2015","12/14/2015",
"CAD000628149","CA","262.B","Standards Applicable to Generators of HW: Manifest","S  ","11/18/1992","07/29/1993","04/02/1993"
"CAD000627406","CA","262.A","Standards Applicable to Generators of HW: General","S  ","04/21/1987","07/01/1987",
"CAD000627752","CA","263.A","Standards Applicable to Transporters of HW: General","S  ","03/16/1989","05/02/1989",
"KSD073323081","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","10/23/1991","03/31/1992",
"MOD000610766","MO","262.A","Standards Applicable to Generators of HW: General","S  ","06/23/1997","04/01/1999","08/15/1997"
"MOD006286991","MO","262.A","Standards Applicable to Generators of HW: General","S  ","08/10/1992","08/31/1992","09/13/1992"
"MOD000610634","MO","262.B","Standards Applicable to Generators of HW: Manifest","S  ","07/28/1998","08/21/1998","09/04/1998"
"MOD000302281","MO","264.B","Standards for Owners and Operators of HW TSDs: General Facility Standards","S  ","01/11/1994","03/17/1994","01/30/1994"
"IAD022134688","IA","262.A","Standards Applicable to Generators of HW: General","E  ","03/17/1989","02/12/1990","03/27/1989"
"VAR000016352","VA","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","08/31/2000","09/11/2002",
"MOR000540013","MO","XXS","State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements","S  ","10/28/2015","11/04/2015",
"INR000020289","IN","279.C","Standards for Used Oil Generators","S  ","08/29/2000","12/06/2000",
"MID155271810","MI","262.D","Standards Applicable to Generators of HW: Recordkeeping and Reporting","S  ","08/11/2000","11/19/2002","10/04/2002"
"ILD062338694","IL","262.A","Standards Applicable to Generators of HW: General","S  ","05/13/1988","08/29/1988",
"KSD141676940","KS","262.A","Standards Applicable to Generators of HW: General","S  ","02/22/1989","09/17/1990",
"KSD007249576","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","02/01/1994","02/15/1994","02/28/1994"
"KSD007248149","KS","262.B","Standards Applicable to Generators of HW: Manifest","S  ","07/23/1997","08/20/1997","08/25/1997"
"MOD007158157","MO","264.D","Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Pr","S  ","03/30/1995","05/11/1995","05/15/1995"
"KSD056385099","KS","262.A","Standards Applicable to Generators of HW: General","S  ","11/09/1999","12/15/1999",
"KSD054757646","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","03/22/1994","04/20/1994","04/21/1994"
"KSD007248149","KS","262.A","Standards Applicable to Generators of HW: General","S  ","03/03/1992","03/30/1992",
"KSD007179476","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","10/26/1994","10/26/1994","10/26/1994"
"MOD007161565","MO","262.A","Standards Applicable to Generators of HW: General","S  ","10/21/1987","12/15/1987","12/15/1987"
"MOD007158157","MO","264.A","Standards for Owners and Operators of HW TSDs: General","S  ","04/09/1987","10/31/2000","05/29/1987"
"MOP000024752","MO","262.A","Standards Applicable to Generators of HW: General","S  ","10/28/1999","01/07/2000","12/10/1999"
"MOD147066302","MO","262.A","Standards Applicable to Generators of HW: General","S  ","08/14/2000","08/14/2000",
"KSD980966501","KS","262.A","Standards Applicable to Generators of HW: General","S  ","01/25/2000","05/02/2000","05/05/2000"
"KSD981118433","KS","262.A","Standards Applicable to Generators of HW: General","S  ","03/07/1996","03/26/1996","04/07/1996"
"KSD073309726","KS","262.A","Standards Applicable to Generators of HW: General","S  ","12/31/1987","10/01/1991","07/13/1988"
"KSD056577810","KS","262.B","Standards Applicable to Generators of HW: Manifest","S  ","07/11/1991","10/24/1991","10/31/1991"
"KSD031348048","KS","262.B","Standards Applicable to Generators of HW: Manifest","S  ","08/05/1993","09/14/1993","09/23/1993"
"KSD007175466","KS","262.C","Standards Applicable to Generators of HW: Pre-Transport Requirements","S  ","08/10/1994","08/10/1994","09/10/1994"
"MOD007452154","MO","264.A","Standards for Owners and Operators of HW TSDs: General","S  ","12/09/1988","01/31/1989","02/01/1989"
"MOD004954111","MO","264.A","Standards for Owners and Operators of HW TSDs: General","S  ","06/04/1987","05/20/1997","08/15/1987"
"KSR000010389","KS","268.A","Land Disposal Restrictions: General","S  ","04/29/1999","05/07/1999","05/13/1999"
"IAD005272703","IA","268.A","Land Disposal Restrictions: General","E  ","03/29/1989","08/28/1989","09/25/1989"
"IAD005270160","IA","262.A","Standards Applicable to Generators of HW: General","E  ","12/12/1991","01/15/1993",
"MAR000010470","MA","262.A","Standards Applicable to Generators of HW: General","S  ","01/23/2001","06/20/2001",
"KSD122156201","KS","262.B","Standards Applicable to Generators of HW: Manifest","S  ","09/09/1992","10/29/1992","10/18/1992"
"KSD113274021","KS","262.A","Standards Applicable to Generators of HW: General","S  ","09/27/1988","11/09/1988",
